timestep,raw_value,voltage_V,tds_ppm
0,93,0.454,197.4
1,94,0.459,199.6
2,93,0.454,197.4
3,93,0.454,197.4
4,93,0.454,197.4
5,94,0.459,199.6
6,93,0.454,197.4
7,94,0.459,199.6
8,93,0.454,197.4
9,94,0.459,199.6
10,93,0.454,197.4
11,94,0.459,199.6
12,93,0.454,197.4
13,93,0.454,197.4
14,93,0.454,197.4
15,94,0.459,199.6
16,94,0.459,199.6
17,94,0.459,199.6
18,94,0.459,199.6
19,94,0.459,199.6
20,93,0.454,197.4
21,93,0.454,197.4
22,93,0.454,197.4
23,93,0.454,197.4
24,93,0.454,197.4
25,94,0.459,199.6
26,94,0.459,199.6
27,93,0.454,197.4
28,94,0.459,199.6
29,94,0.459,199.6
30,94,0.459,199.6
31,93,0.454,197.4
32,94,0.459,199.6
33,93,0.454,197.4
34,94,0.459,199.6
35,94,0.459,199.6
36,93,0.454,197.4
37,94,0.459,199.6
38,93,0.454,197.4
39,93,0.454,197.4
40,94,0.459,199.6
41,94,0.459,199.6
42,93,0.454,197.4
43,93,0.454,197.4
44,93,0.454,197.4
45,93,0.454,197.4
46,94,0.459,199.6
47,94,0.459,199.6
48,94,0.459,199.6
49,94,0.459,199.6
50,94,0.459,199.6
51,94,0.459,199.6
52,94,0.459,199.6
53,94,0.459,199.6
54,94,0.459,199.6
55,94,0.459,199.6
56,93,0.454,197.4
57,94,0.459,199.6
58,94,0.459,199.6
59,94,0.459,199.6
60,94,0.459,199.6
61,94,0.459,199.6
62,94,0.459,199.6
63,94,0.459,199.6
64,94,0.459,199.6
65,94,0.459,199.6
66,94,0.459,199.6
67,93,0.454,197.4
68,94,0.459,199.6
69,93,0.454,197.4
70,94,0.459,199.6
71,93,0.454,197.4
72,93,0.454,197.4
73,94,0.459,199.6
74,94,0.459,199.6
75,94,0.459,199.6
76,94,0.459,199.6
77,94,0.459,199.6
78,94,0.459,199.6
79,94,0.459,199.6
80,94,0.459,199.6
81,93,0.454,197.4
82,93,0.454,197.4
83,93,0.454,197.4
84,94,0.459,199.6
85,94,0.459,199.6
86,93,0.454,197.4
87,93,0.454,197.4
88,94,0.459,199.6
89,93,0.454,197.4
90,94,0.459,199.6
91,94,0.459,199.6
92,93,0.454,197.4
93,93,0.454,197.4
94,94,0.459,199.6
95,94,0.459,199.6
96,94,0.459,199.6
97,93,0.454,197.4
98,93,0.454,197.4
99,93,0.454,197.4
100,94,0.459,199.6
101,94,0.459,199.6
102,94,0.459,199.6
103,94,0.459,199.6
104,94,0.459,199.6
105,94,0.459,199.6
106,94,0.459,199.6
107,94,0.459,199.6
108,94,0.459,199.6
109,94,0.459,199.6
110,94,0.459,199.6
111,94,0.459,199.6
112,94,0.459,199.6
113,94,0.459,199.6
114,94,0.459,199.6
115,94,0.459,199.6
116,94,0.459,199.6
117,94,0.459,199.6
118,93,0.454,197.4
119,94,0.459,199.6
120,94,0.459,199.6
121,93,0.454,197.4
122,93,0.454,197.4
123,94,0.459,199.6
124,93,0.454,197.4
125,94,0.459,199.6
126,93,0.454,197.4
127,94,0.459,199.6
128,94,0.459,199.6
129,94,0.459,199.6
130,93,0.454,197.4
131,94,0.459,199.6
132,94,0.459,199.6
133,94,0.459,199.6
134,94,0.459,199.6
135,94,0.459,199.6
136,94,0.459,199.6
137,93,0.454,197.4
138,94,0.459,199.6
139,93,0.454,197.4
140,94,0.459,199.6
141,93,0.454,197.4
142,93,0.454,197.4
143,93,0.454,197.4
144,94,0.459,199.6
145,94,0.459,199.6
146,93,0.454,197.4
147,94,0.459,199.6
148,94,0.459,199.6
149,94,0.459,199.6
150,94,0.459,199.6
151,94,0.459,199.6
152,94,0.459,199.6
153,94,0.459,199.6
154,93,0.454,197.4
155,94,0.459,199.6
156,93,0.454,197.4
157,94,0.459,199.6
158,94,0.459,199.6
159,94,0.459,199.6
160,94,0.459,199.6
161,94,0.459,199.6
162,94,0.459,199.6
163,93,0.454,197.4
164,93,0.454,197.4
165,93,0.454,197.4
166,93,0.454,197.4
167,94,0.459,199.6
168,94,0.459,199.6
169,94,0.459,199.6
170,94,0.459,199.6
171,94,0.459,199.6
172,94,0.459,199.6
173,94,0.459,199.6
174,93,0.454,197.4
175,93,0.454,197.4
176,93,0.454,197.4
177,93,0.454,197.4
178,93,0.454,197.4
179,94,0.459,199.6
180,94,0.459,199.6
181,93,0.454,197.4
182,93,0.454,197.4
183,93,0.454,197.4
184,93,0.454,197.4
185,93,0.454,197.4
186,94,0.459,199.6
187,94,0.459,199.6
188,94,0.459,199.6
189,94,0.459,199.6
190,93,0.454,197.4
191,94,0.459,199.6
192,94,0.459,199.6
193,93,0.454,197.4
194,94,0.459,199.6
195,93,0.454,197.4
196,93,0.454,197.4
197,94,0.459,199.6
198,93,0.454,197.4
199,94,0.459,199.6
200,93,0.454,197.4
201,93,0.454,197.4
202,94,0.459,199.6
203,94,0.459,199.6
204,94,0.459,199.6
205,93,0.454,197.4
206,93,0.454,197.4
207,94,0.459,199.6
208,94,0.459,199.6
209,94,0.459,199.6
210,94,0.459,199.6
211,93,0.454,197.4
212,93,0.454,197.4
213,93,0.454,197.4
214,93,0.454,197.4
215,93,0.454,197.4
216,93,0.454,197.4
217,94,0.459,199.6
218,94,0.459,199.6
219,94,0.459,199.6
220,93,0.454,197.4
221,93,0.454,197.4
222,94,0.459,199.6
223,93,0.454,197.4
224,94,0.459,199.6
225,94,0.459,199.6
226,94,0.459,199.6
227,94,0.459,199.6
228,93,0.454,197.4
229,93,0.454,197.4
230,94,0.459,199.6
231,93,0.454,197.4
232,94,0.459,199.6
233,94,0.459,199.6
234,94,0.459,199.6
235,93,0.454,197.4
236,93,0.454,197.4
237,93,0.454,197.4
238,93,0.454,197.4
239,94,0.459,199.6
240,94,0.459,199.6
241,94,0.459,199.6
242,93,0.454,197.4
243,93,0.454,197.4
244,93,0.454,197.4
245,93,0.454,197.4
246,93,0.454,197.4
247,94,0.459,199.6
248,94,0.459,199.6
249,94,0.459,199.6
250,93,0.454,197.4
251,94,0.459,199.6
252,94,0.459,199.6
253,94,0.459,199.6
254,94,0.459,199.6
255,94,0.459,199.6
256,94,0.459,199.6
257,93,0.454,197.4
258,93,0.454,197.4
259,93,0.454,197.4
260,93,0.454,197.4
261,94,0.459,199.6
262,93,0.454,197.4
263,94,0.459,199.6
264,94,0.459,199.6
265,94,0.459,199.6
266,94,0.459,199.6
267,93,0.454,197.4
268,94,0.459,199.6
269,93,0.454,197.4
270,93,0.454,197.4
271,94,0.459,199.6
272,93,0.454,197.4
273,93,0.454,197.4
274,94,0.459,199.6
275,93,0.454,197.4
276,93,0.454,197.4
277,93,0.454,197.4
278,94,0.459,199.6
279,94,0.459,199.6
280,94,0.459,199.6
281,94,0.459,199.6
282,94,0.459,199.6
283,94,0.459,199.6
284,94,0.459,199.6
285,94,0.459,199.6
286,94,0.459,199.6
287,94,0.459,199.6
288,93,0.454,197.4
289,93,0.454,197.4
290,93,0.454,197.4
291,93,0.454,197.4
292,93,0.454,197.4
293,93,0.454,197.4
294,94,0.459,199.6
295,94,0.459,199.6
296,94,0.459,199.6
297,94,0.459,199.6
298,94,0.459,199.6
299,93,0.454,197.4
300,94,0.459,199.6
301,94,0.459,199.6
302,93,0.454,197.4
303,94,0.459,199.6
304,94,0.459,199.6
305,94,0.459,199.6
306,93,0.454,197.4
307,94,0.459,199.6
308,93,0.454,197.4
309,94,0.459,199.6
310,93,0.454,197.4
311,94,0.459,199.6
312,94,0.459,199.6
313,93,0.454,197.4
314,93,0.454,197.4
315,94,0.459,199.6
316,93,0.454,197.4
317,93,0.454,197.4
318,94,0.459,199.6
319,94,0.459,199.6
320,93,0.454,197.4
321,94,0.459,199.6
322,94,0.459,199.6
323,94,0.459,199.6
324,94,0.459,199.6
325,94,0.459,199.6
326,93,0.454,197.4
327,93,0.454,197.4
328,93,0.454,197.4
329,93,0.454,197.4
330,94,0.459,199.6
331,93,0.454,197.4
332,94,0.459,199.6
333,94,0.459,199.6
334,94,0.459,199.6
335,94,0.459,199.6
336,94,0.459,199.6
337,94,0.459,199.6
338,93,0.454,197.4
339,93,0.454,197.4
340,93,0.454,197.4
341,94,0.459,199.6
342,93,0.454,197.4
343,94,0.459,199.6
344,93,0.454,197.4
345,94,0.459,199.6
346,94,0.459,199.6
347,94,0.459,199.6
348,94,0.459,199.6
349,94,0.459,199.6
350,93,0.454,197.4
351,94,0.459,199.6
352,94,0.459,199.6
353,94,0.459,199.6
354,94,0.459,199.6
355,93,0.454,197.4
356,93,0.454,197.4
357,93,0.454,197.4
358,94,0.459,199.6
359,94,0.459,199.6
360,93,0.454,197.4
361,94,0.459,199.6
362,94,0.459,199.6
363,94,0.459,199.6
364,94,0.459,199.6
365,94,0.459,199.6
366,93,0.454,197.4
367,94,0.459,199.6
368,93,0.454,197.4
369,94,0.459,199.6
370,94,0.459,199.6
371,94,0.459,199.6
372,94,0.459,199.6
373,94,0.459,199.6
374,94,0.459,199.6
375,94,0.459,199.6
376,94,0.459,199.6
377,94,0.459,199.6
378,93,0.454,197.4
379,94,0.459,199.6
380,94,0.459,199.6
381,93,0.454,197.4
382,94,0.459,199.6
383,93,0.454,197.4
384,93,0.454,197.4
385,94,0.459,199.6
386,94,0.459,199.6
387,94,0.459,199.6
388,94,0.459,199.6
389,94,0.459,199.6
390,94,0.459,199.6
391,94,0.459,199.6
392,94,0.459,199.6
393,93,0.454,197.4
394,94,0.459,199.6
395,93,0.454,197.4
396,93,0.454,197.4
397,93,0.454,197.4
398,94,0.459,199.6
399,93,0.454,197.4
400,93,0.454,197.4
401,94,0.459,199.6
402,94,0.459,199.6
403,93,0.454,197.4
404,94,0.459,199.6
405,94,0.459,199.6
406,94,0.459,199.6
407,94,0.459,199.6
408,94,0.459,199.6
409,93,0.454,197.4
410,93,0.454,197.4
411,93,0.454,197.4
412,93,0.454,197.4
413,94,0.459,199.6
414,93,0.454,197.4
415,94,0.459,199.6
416,94,0.459,199.6
417,94,0.459,199.6
418,94,0.459,199.6
419,94,0.459,199.6
420,94,0.459,199.6
421,94,0.459,199.6
422,94,0.459,199.6
423,93,0.454,197.4
424,94,0.459,199.6
425,94,0.459,199.6
426,94,0.459,199.6
427,93,0.454,197.4
428,94,0.459,199.6
429,94,0.459,199.6
430,94,0.459,199.6
431,94,0.459,199.6
432,94,0.459,199.6
433,94,0.459,199.6
434,94,0.459,199.6
435,94,0.459,199.6
436,93,0.454,197.4
437,94,0.459,199.6
438,93,0.454,197.4
439,93,0.454,197.4
440,94,0.459,199.6
441,94,0.459,199.6
442,94,0.459,199.6
443,94,0.459,199.6
444,94,0.459,199.6
445,93,0.454,197.4
446,93,0.454,197.4
447,94,0.459,199.6
448,93,0.454,197.4
449,94,0.459,199.6
450,93,0.454,197.4
451,93,0.454,197.4
452,94,0.459,199.6
453,94,0.459,199.6
454,94,0.459,199.6
455,94,0.459,199.6
456,94,0.459,199.6
457,93,0.454,197.4
458,94,0.459,199.6
459,93,0.454,197.4
460,93,0.454,197.4
461,94,0.459,199.6
462,94,0.459,199.6
463,94,0.459,199.6
464,93,0.454,197.4
465,94,0.459,199.6
466,94,0.459,199.6
467,94,0.459,199.6
468,94,0.459,199.6
469,93,0.454,197.4
470,94,0.459,199.6
471,94,0.459,199.6
472,93,0.454,197.4
473,94,0.459,199.6
474,94,0.459,199.6
475,94,0.459,199.6
476,93,0.454,197.4
477,93,0.454,197.4
478,93,0.454,197.4
479,93,0.454,197.4
480,94,0.459,199.6
481,94,0.459,199.6
482,93,0.454,197.4
483,94,0.459,199.6
484,94,0.459,199.6
485,93,0.454,197.4
486,94,0.459,199.6
487,94,0.459,199.6
488,93,0.454,197.4
489,94,0.459,199.6
490,93,0.454,197.4
491,94,0.459,199.6
492,93,0.454,197.4
493,94,0.459,199.6
494,93,0.454,197.4
495,94,0.459,199.6
496,93,0.454,197.4
497,94,0.459,199.6
498,94,0.459,199.6
499,93,0.454,197.4
500,93,0.454,197.4
501,93,0.454,197.4
502,93,0.454,197.4
503,94,0.459,199.6
504,94,0.459,199.6
505,93,0.454,197.4
506,93,0.454,197.4
507,94,0.459,199.6
508,93,0.454,197.4
509,94,0.459,199.6
510,93,0.454,197.4
511,93,0.454,197.4
512,94,0.459,199.6
513,94,0.459,199.6
514,94,0.459,199.6
515,94,0.459,199.6
516,94,0.459,199.6
517,94,0.459,199.6
518,94,0.459,199.6
519,93,0.454,197.4
520,93,0.454,197.4
521,94,0.459,199.6
522,93,0.454,197.4
523,93,0.454,197.4
524,93,0.454,197.4
525,94,0.459,199.6
526,94,0.459,199.6
527,93,0.454,197.4
528,93,0.454,197.4
529,93,0.454,197.4
530,93,0.454,197.4
531,93,0.454,197.4
532,94,0.459,199.6
533,93,0.454,197.4
534,94,0.459,199.6
535,94,0.459,199.6
536,93,0.454,197.4
537,93,0.454,197.4
538,93,0.454,197.4
539,94,0.459,199.6
540,94,0.459,199.6
541,93,0.454,197.4
542,93,0.454,197.4
543,93,0.454,197.4
544,93,0.454,197.4
545,93,0.454,197.4
546,93,0.454,197.4
547,93,0.454,197.4
548,93,0.454,197.4
549,94,0.459,199.6
550,93,0.454,197.4
551,93,0.454,197.4
552,93,0.454,197.4
553,94,0.459,199.6
554,94,0.459,199.6
555,94,0.459,199.6
556,94,0.459,199.6
557,94,0.459,199.6
558,93,0.454,197.4
559,94,0.459,199.6
560,93,0.454,197.4
561,94,0.459,199.6
562,93,0.454,197.4
563,93,0.454,197.4
564,93,0.454,197.4
565,94,0.459,199.6
566,94,0.459,199.6
567,94,0.459,199.6
568,94,0.459,199.6
569,94,0.459,199.6
570,94,0.459,199.6
571,94,0.459,199.6
572,94,0.459,199.6
573,94,0.459,199.6
574,94,0.459,199.6
575,94,0.459,199.6
576,94,0.459,199.6
577,94,0.459,199.6
578,94,0.459,199.6
579,94,0.459,199.6
580,94,0.459,199.6
581,94,0.459,199.6
582,94,0.459,199.6
583,94,0.459,199.6
584,93,0.454,197.4
585,94,0.459,199.6
586,93,0.454,197.4
587,94,0.459,199.6
588,93,0.454,197.4
589,94,0.459,199.6
590,94,0.459,199.6
591,93,0.454,197.4
592,94,0.459,199.6
593,94,0.459,199.6
594,94,0.459,199.6
595,94,0.459,199.6
596,94,0.459,199.6
597,93,0.454,197.4
598,94,0.459,199.6
